sample,GPSC,merge_history
19646_1#63,1,1
18814_2#23,1,1
10754X124_140620_D00294_0106_AC4FB4ANXX_6,1,1
18814_1#55,1,1
7054_4#6,1,1
17794_4#57,1,1
5366_8#2,1,1
6680_5#24,1,1
19084_7#168,1,1
19647_1#6,1,1
18814_2#30,1,1
19647_1#16,1,1
28042_2#103,1,1
5381_1#11,1,1
17794_5#48,1,1
31958_2#260,1,1
15841_4#6,1,1
13670_3#26,1,1
15191_5#36,1,1
13470_1#75,1,1
24775_1#85,1,1
11826_3#39,1,1
11511_8#48,1,1
24977_8#282,1,1
21999_7#162,1,1
14936_6#72,1,1
17794_3#84,1,1
16404_7#38,1,1
12162_1#1,1,1
28177_3#267,1,1
5366_3#5,1,1
17794_6#44,1,1
28177_3#366,1,1
13414_2#83,1,1
27119_1#8,1,1
5381_3#4,1,1
17794_7#66,1,1
19341_3#117,1,1
14936_4#80,1,1
24977_8#191,1,1
24977_8#92,1,1
32820_2#180,1,1
6899_5#8,1,1
7054_5#15,1,1
24977_8#171,1,1
6938_7#3,1,1
19647_1#88,1,1
17138_3#22,1,1
17794_6#42,1,1
19647_1#69,1,1
24977_8#177,1,1
16404_7#53,1,1
19647_1#72,1,1
19084_7#77,1,1
7011_4#23,1,1
17794_3#88,1,1
23164_8#158,1,1
5468_1#5,1,1
5366_7#5,1,1
23430_3#109,1,1
23430_2#72,1,1
23430_3#82,1,1
24820_2#312,1,1
18814_1#65,1,1
11657_4#53,1,1
13710_2#33,1,1
5366_6#1,1,1
11658_2#84,1,1
15277_1#17,1,1
22335_7#10,1,1
17794_3#50,1,1
20925_3#28,1,1
6983_3#69,1,1
24977_8#44,1,1
5381_1#10,1,1
24977_8#158,1,1
11679_1#27,1,1
6187_4#10,1,1
17794_5#71,1,1
22027_1#141,1,1
9803_7#18,1,1
11679_1#53,1,1
15191_6#79,1,1
18090_3#67,1,1
22841_1#24,1,1
15682_4#3,1,1
22335_7#43,1,1
10754X46_140620_D00294_0106_AC4FB4ANXX_5,1,1
23430_3#102,1,1
21127_1#99,1,1
6731_5#3,1,1
17794_4#58,1,1
21242_2#153,1,1
16404_7#55,1,1
17794_4#85,1,1
12837_1#25,1,1
13415_6#25,1,1
24820_2#104,1,1
15682_4#65,1,1
6899_7#20,1,1
19084_8#178,1,1
11657_4#30,1,1
19341_3#116,1,1
23204_4#97,1,1
19341_2#172,1,1
6925_7#9,1,1
31958_2#52,1,1
19084_8#139,1,1
24977_8#83,1,1
27119_1#119,1,1
16404_7#69,1,1
21127_1#113,1,1
20925_3#7,1,1
17150_6#70,1,1
15682_3#26,1,1
17794_5#91,1,1
34746_4#275,1,1
11658_2#14,1,1
7622_5#73,1,1
20402_4#110,1,1
17794_6#57,1,1
17794_6#85,1,1
11860_1#33,1,1
27119_1#63,1,1
24977_8#148,1,1
22335_8#100,1,1
15682_3#38,1,1
28042_2#102,1,1
28522_3#4,1,1
17794_6#78,1,1
15940_6#49,1,1
24775_1#194,1,1
6983_2#14,1,1
11860_1#28,1,1
23430_1#62,1,1
19647_1#30,1,1
19647_1#24,1,1
6840_3#24,1,1
24977_8#257,1,1
7335_3#74,1,1
32820_2#148,1,1
16404_7#42,1,1
12378_4#11,1,1
12837_5#47,1,1
13091_2#4,1,1
17794_4#20,1,1
14520_8#92,1,1
27119_1#197,1,1
15682_5#37,1,1
18814_2#10,1,1
6807_3#1,1,1
6871_1#3,1,1
17175_5#69,1,1
21127_2#143,1,1
17150_6#86,1,1
19646_1#60,1,1
14913_3#25,1,1
7004_5#18,1,1
10754X115_140620_D00294_0106_AC4FB4ANXX_6,1,1
19647_1#15,1,1
13470_1#47,1,1
16404_8#27,1,1
14257_1#8,1,1
9803_8#15,1,1
19787_5#61,1,1
22027_1#44,1,1
18814_2#36,1,1
19646_1#79,1,1
7068_4#5,1,1
14520_7#52,1,1
24775_1#100,1,1
6983_5#1,1,1
13091_2#11,1,1
21127_1#41,1,1
18814_1#40,1,1
10754X109_140620_D00294_0106_AC4FB4ANXX_6,1,1
15682_2#13,1,1
17794_5#82,1,1
16399_8#67,1,1
6753_4#7,1,1
17794_4#44,1,1
11860_1#19,1,1
6631_6#4,1,1
12299_2#5,1,1
24977_8#157,1,1
24861_1#332,1,1
23430_2#153,1,1
5366_7#8,1,1
7038_4#4,1,1
23204_4#68,1,1
11860_1#58,1,1
14520_8#20,1,1
34746_4#166,1,1
17794_5#79,1,1
17794_6#60,1,1
22335_7#50,1,1
6823_2#23,1,1
24977_8#132,1,1
13154_3#74,1,1
16399_8#59,1,1
17794_5#14,1,1
6775_1#22,1,1
6899_7#3,1,1
12274_5#17,1,1
15682_2#67,1,1
6823_7#8,1,1
6899_6#21,1,1
7004_7#55,1,1
12274_4#82,1,1
6840_3#10,1,1
6830_3#5,1,1
15682_4#15,1,1
15682_5#16,1,1
5429_8#10,1,1
11826_3#75,1,1
6925_6#13,1,1
15682_3#25,1,1
27119_1#182,1,1
12274_5#20,1,1
22335_8#54,1,1
5366_8#8,1,1
16404_7#33,1,1
28177_3#286,1,1
23164_8#157,1,1
11860_1#48,1,1
15378_2#24,1,1
14673_3#10,1,1
6823_2#2,1,1
24977_8#110,1,1
12274_5#94,1,1
28420_2#342,1,1
24977_8#228,1,1
24977_8#123,1,1
17794_6#46,1,1
32820_2#336,1,1
24977_8#232,1,1
22335_8#82,1,1
24977_8#196,1,1
5366_7#9,1,1
5366_6#7,1,1
12299_1#48,1,1
12291_1#44,1,1
13091_3#55,1,1
6680_4#21,1,1
23430_1#185,1,1
6289_8#8,1,1
6710_6#20,1,1
6983_3#65,1,1
27119_1#244,1,1
7054_4#1,1,1
5392_7#10,1,1
12274_6#18,1,1
18814_1#74,1,1
21127_2#33,1,1
23204_4#118,1,1
5381_1#5,1,1
32139_2#99,1,1
19084_8#158,1,1
6731_4#8,1,1
32139_3#51,1,1
6259_2#22,1,1
18090_2#72,1,1
12299_2#19,1,1
17794_6#18,1,1
28177_3#158,1,1
28042_2#198,1,1
12162_1#60,1,1
12274_6#31,1,1
6259_4#19,1,1
10754X9_140620_D00294_0106_AC4FB4ANXX_5,1,1
13091_4#62,1,1
12291_1#7,1,1
5381_3#3,1,1
5366_3#8,1,1
13154_2#85,1,1
6983_5#14,1,1
12162_1#15,1,1
24977_8#26,1,1
28177_3#269,1,1
24977_8#166,1,1
23204_4#180,1,1
23430_3#89,1,1
28522_3#289,1,1
27119_1#85,1,1
6925_3#9,1,1
6871_1#16,1,1
6823_1#15,1,1
15682_3#33,1,1
13091_4#54,1,1
15841_4#22,1,1
34746_4#263,1,1
18090_1#51,1,1
6807_3#22,1,1
6807_1#1,1,1
6949_2#15,1,1
16404_7#41,1,1
16399_8#61,1,1
19787_5#44,1,1
18814_2#21,1,1
17794_6#64,1,1
31664_1#188,1,1
12291_2#89,1,1
12299_1#41,1,1
19084_8#44,1,1
17794_4#12,1,1
6805_6#17,1,1
24977_8#243,1,1
13091_3#57,1,1
11679_1#74,1,1
9803_7#47,1,1
17794_4#24,1,1
19647_1#9,1,1
7038_8#39,1,1
23430_4#47,1,1
6731_4#5,1,1
21127_1#80,1,1
17794_5#67,1,1
6775_2#23,1,1
18090_2#67,1,1
11826_3#68,1,1
32820_2#22,1,1
19084_7#115,1,1
17794_4#80,1,1
5468_2#8,1,1
21127_1#39,1,1
5348_8#12,1,1
16404_7#34,1,1
32139_2#257,1,1
27119_1#185,1,1
19084_8#135,1,1
31919_2#40,1,1
11860_1#6,1,1
11679_1#13,1,1
11826_3#48,1,1
23430_1#114,1,1
11657_8#14,1,1
31588_4#47,1,1
6938_7#7,1,1
13470_1#40,1,1
32139_4#9,1,1
24977_8#155,1,1
7011_4#17,1,1
24977_8#201,1,1
6730_8#11,1,1
17794_4#95,1,1
18090_2#70,1,1
18814_2#17,1,1
6949_2#16,1,1
12291_4#61,1,1
17794_5#54,1,1
7038_4#7,1,1
6731_3#7,1,1
14673_1#82,1,1
17794_5#35,1,1
19647_1#46,1,1
24775_1#66,1,1
23204_4#66,1,1
14673_4#19,1,1
18814_2#27,1,1
19341_3#118,1,1
13154_3#14,1,1
5366_6#9,1,1
15682_6#83,1,1
12291_5#33,1,1
6807_1#19,1,1
6807_2#7,1,1
17794_6#31,1,1
7011_6#20,1,1
29330_2#266,1,1
15940_3#10,1,1
21485_4#3,1,1
28420_2#130,1,1
18814_2#29,1,1
17794_5#84,1,1
19647_1#62,1,1
15531_5#66,1,1
14566_4#80,1,1
6714_7#16,1,1
27119_1#137,1,1
14412_2#61,1,1
19647_1#78,1,1
6949_1#2,1,1
17794_5#7,1,1
24977_8#274,1,1
12291_4#69,1,1
6730_4#22,1,1
17794_5#30,1,1
23204_4#102,1,1
15682_1#72,1,1
10868_6#4,1,1
11860_1#25,1,1
17059_8#69,1,1
14673_4#20,1,1
6730_7#8,1,1
5366_5#5,1,1
7092_6#20,1,1
16404_7#32,1,1
6899_7#19,1,1
12291_2#7,1,1
17794_6#36,1,1
15682_4#4,1,1
15682_5#15,1,1
23430_3#57,1,1
12299_2#2,1,1
14673_3#7,1,1
13154_3#43,1,1
10868_5#13,1,1
23204_4#58,1,1
5366_5#6,1,1
16404_7#50,1,1
7001_3#7,1,1
5348_8#11,1,1
6775_2#19,1,1
34746_4#328,1,1
19646_1#89,1,1
6259_8#16,1,1
19647_1#37,1,1
6187_7#23,1,1
11657_4#93,1,1
22841_1#187,1,1
13415_8#65,1,1
15682_2#55,1,1
17794_6#6,1,1
17794_6#61,1,1
19647_1#12,1,1
28177_3#213,1,1
7092_6#7,1,1
13091_4#85,1,1
7038_4#20,1,1
23430_2#78,1,1
17794_6#48,1,1
23430_1#186,1,1
5366_5#12,1,1
6840_3#2,1,1
32036_8#319,1,1
7553_4#17,1,1
24820_2#42,1,1
13091_1#47,1,1
17794_3#89,1,1
19647_1#44,1,1
24977_8#156,1,1
18814_2#11,1,1
18090_1#133,1,1
12274_5#44,1,1
24820_2#210,1,1
7004_7#51,1,1
13414_3#13,1,1
24775_1#141,1,1
24977_8#256,1,1
23430_1#104,1,1
5477_6#7,1,1
6925_4#16,1,1
14673_1#48,1,1
32139_2#189,1,1
23430_2#13,1,1
17794_6#63,1,1
6731_4#4,1,1
11860_6#17,1,1
19647_1#76,1,1
6259_3#4,1,1
6823_1#5,1,1
6830_3#15,1,1
5242_5#12,1,1
15608_5#90,1,1
6775_2#24,1,1
6630_3#3,1,1
5901_6#5,1,1
7004_7#71,1,1
12274_4#91,1,1
19647_1#5,1,1
6972_5#21,1,1
12299_2#14,1,1
28522_3#169,1,1
6710_8#9,1,1
5749_6#8,1,1
15191_5#6,1,1
6753_3#1,1,1
13710_2#58,1,1
6949_4#24,1,1
27119_1#148,1,1
13414_4#42,1,1
14723_6#54,1,1
15191_6#54,1,1
14555_3#14,1,1
17794_6#80,1,1
24977_8#66,1,1
12291_4#58,1,1
31919_2#318,1,1
19647_1#23,1,1
21999_8#40,1,1
34746_4#203,1,1
6791_6#24,1,1
9803_7#20,1,1
17794_6#33,1,1
5381_2#10,1,1
6710_8#11,1,1
11860_1#20,1,1
13091_1#50,1,1
7011_3#6,1,1
12299_1#38,1,1
17794_6#9,1,1
6259_2#3,1,1
14673_1#62,1,1
11826_4#12,1,1
17794_6#29,1,1
24775_1#92,1,1
28177_3#126,1,1
10754X91_140620_D00294_0106_AC4FB4ANXX_5,1,1
15682_1#73,1,1
6899_7#17,1,1
6983_8#80,1,1
7011_4#5,1,1
7054_6#13,1,1
13154_2#18,1,1
12274_4#77,1,1
15873_8#35,1,1
17794_5#22,1,1
17794_5#37,1,1
6680_5#17,1,1
21999_8#32,1,1
12754_4#62,1,1
19341_2#164,1,1
19084_7#128,1,1
11826_3#63,1,1
17794_5#45,1,1
24820_2#102,1,1
34746_4#120,1,1
23430_2#48,1,1
24977_8#28,1,1
28522_3#331,1,1
5901_7#3,1,1
23430_4#27,1,1
5366_5#11,1,1
6736_8#9,1,1
17794_6#20,1,1
31588_4#274,1,1
17794_4#62,1,1
11860_1#46,1,1
31958_2#73,1,1
11826_3#2,1,1
24977_8#153,1,1
16043_2#58,1,1
13091_2#73,1,1
17794_4#91,1,1
12291_4#79,1,1
19647_1#45,1,1
12274_5#1,1,1
16404_7#36,1,1
15191_5#33,1,1
17794_3#56,1,1
21127_1#95,1,1
24977_8#268,1,1
19084_7#138,1,1
18814_2#31,1,1
17794_4#31,1,1
31919_2#267,1,1
34746_4#112,1,1
5381_1#3,1,1
13154_3#67,1,1
23430_3#22,1,1
10754X104_140620_D00294_0106_AC4FB4ANXX_6,1,1
24977_8#67,1,1
17794_5#89,1,1
19647_1#34,1,1
18814_1#44,1,1
24861_1#291,1,1
6730_8#19,1,1
12274_6#23,1,1
27119_1#12,1,1
27119_1#195,1,1
11826_3#65,1,1
9803_7#78,1,1
15841_4#67,1,1
23204_4#65,1,1
18090_1#35,1,1
19647_1#59,1,1
19647_1#77,1,1
13710_1#44,1,1
23430_3#164,1,1
17794_6#70,1,1
14566_5#42,1,1
18814_2#56,1,1
28042_2#110,1,1
14410_5#3,1,1
6731_2#7,1,1
14566_4#59,1,1
19536_2#49,1,1
6259_4#13,1,1
12162_1#3,1,1
6753_2#4,1,1
11658_2#18,1,1
9803_8#47,1,1
17059_7#34,1,1
6289_8#4,1,1
32139_3#113,1,1
11860_1#73,1,1
14520_8#19,1,1
6187_6#7,1,1
12274_6#47,1,1
6714_7#13,1,1
19647_1#73,1,1
5477_6#8,1,1
14412_3#9,1,1
17175_6#10,1,1
5381_1#4,1,1
6972_5#8,1,1
14673_3#43,1,1
6736_6#24,1,1
28522_3#109,1,1
11826_3#15,1,1
27119_1#131,1,1
17794_5#33,1,1
6775_2#17,1,1
17794_4#55,1,1
22114_6#48,1,1
12162_1#63,1,1
16043_2#60,1,1
16404_7#87,1,1
12274_5#79,1,1
22335_7#56,1,1
22841_3#164,1,1
5366_6#10,1,1
21127_1#30,1,1
17794_4#22,1,1
5381_3#2,1,1
9803_8#35,1,1
19647_1#35,1,1
18814_2#24,1,1
34746_4#44,1,1
5366_8#10,1,1
19341_2#69,1,1
12291_2#48,1,1
5381_3#7,1,1
19647_1#52,1,1
32139_2#353,1,1
16404_7#45,1,1
19647_1#64,1,1
6949_4#22,1,1
14566_5#14,1,1
6823_3#18,1,1
6259_3#20,1,1
32820_2#5,1,1
14673_1#71,1,1
24977_8#112,1,1
7004_8#81,1,1
24775_1#70,1,1
6237_8#4,1,1
31588_4#115,1,1
6731_3#19,1,1
14913_7#67,1,1
12274_5#67,1,1
17794_4#36,1,1
6925_4#18,1,1
12299_1#6,1,1
6805_3#13,1,1
15682_4#32,1,1
12274_6#14,1,1
7004_7#66,1,1
24977_8#227,1,1
6731_4#18,1,1
27119_1#129,1,1
10868_5#15,1,1
22335_7#107,1,1
31958_2#243,1,1
17794_8#23,1,1
13414_3#95,1,1
21127_1#42,1,1
17794_6#92,1,1
13414_2#91,1,1
15682_2#74,1,1
5366_6#3,1,1
17794_4#86,1,1
11657_8#4,1,1
27119_1#260,1,1
13154_3#75,1,1
34746_4#209,1,1
24977_8#49,1,1
17794_5#5,1,1
6736_7#24,1,1
11826_3#96,1,1
18814_1#29,1,1
28177_3#185,1,1
17794_4#53,1,1
15874_1#44,1,1
24977_8#202,1,1
11826_4#29,1,1
14673_1#67,1,1
6730_6#1,1,1
12291_1#4,1,1
12274_5#21,1,1
24977_8#186,1,1
12299_2#88,1,1
10868_6#13,1,1
11658_8#16,1,1
23204_4#174,1,1
24977_8#150,1,1
19647_1#33,1,1
19647_1#87,1,1
14566_8#25,1,1
18814_2#26,1,1
12274_5#92,1,1
28177_3#167,1,1
19341_1#88,1,1
29102_1#288,1,1
24977_8#41,1,1
11511_7#13,1,1
13414_6#79,1,1
13710_1#45,1,1
12274_5#9,1,1
19647_1#58,1,1
13414_2#67,1,1
6775_2#12,1,1
6899_5#17,1,1
20925_3#9,1,1
12274_5#70,1,1
14412_1#7,1,1
12299_2#40,1,1
34746_4#104,1,1
24820_2#97,1,1
11860_1#70,1,1
21053_8#180,1,1
27119_1#115,1,1
7011_3#24,1,1
24977_8#117,1,1
6237_8#17,1,1
5366_5#7,1,1
12299_1#7,1,1
11860_1#83,1,1
17150_4#44,1,1
14410_6#10,1,1
17794_6#2,1,1
11826_3#89,1,1
18814_1#39,1,1
23430_2#60,1,1
11826_3#10,1,1
5381_3#8,1,1
7622_3#51,1,1
13414_4#34,1,1
6187_4#17,1,1
31588_4#133,1,1
14673_1#86,1,1
6972_5#15,1,1
19341_3#51,1,1
16404_7#83,1,1
12274_5#46,1,1
12291_2#52,1,1
17175_6#65,1,1
14412_1#69,1,1
22335_7#26,1,1
15874_1#15,1,1
12837_5#57,1,1
19341_2#148,1,1
23430_1#146,1,1
6259_3#14,1,1
27119_1#132,1,1
17794_6#76,1,1
11658_2#66,1,1
17175_7#81,1,1
24977_8#140,1,1
24977_8#127,1,1
6736_7#12,1,1
6805_4#5,1,1
5429_8#7,1,1
9950_3#36,1,1
6751_2#9,1,1
11511_8#59,1,1
15191_6#76,1,1
18787_3#31,1,1
12274_5#49,1,1
6289_7#3,1,1
28522_3#322,1,1
6949_2#18,1,1
6949_2#13,1,1
15191_5#47,1,1
21999_8#109,1,1
13353_7#15,1,1
23430_2#45,1,1
17794_4#70,1,1
5366_8#11,1,1
5392_7#11,1,1
32139_3#231,1,1
28042_2#155,1,1
17794_5#64,1,1
6999_7#23,1,1
23430_2#136,1,1
24861_1#230,1,1
17794_4#87,1,1
21127_1#76,1,1
12274_5#87,1,1
23430_4#24,1,1
24977_8#208,1,1
16404_7#52,1,1
6259_8#2,1,1
12299_2#92,1,1
28420_2#253,1,1
6593_5#11,1,1
17794_3#92,1,1
13091_6#82,1,1
19341_3#62,1,1
19341_3#114,1,1
18814_2#53,1,1
6925_5#19,1,1
6899_5#15,1,1
6730_3#1,1,1
11860_1#1,1,1
5477_6#5,1,1
21053_8#142,1,1
24861_1#352,1,1
5366_5#8,1,1
17794_6#23,1,1
5366_3#12,1,1
11826_4#17,1,1
14937_1#37,1,1
12299_2#32,1,1
12299_2#65,1,1
19341_3#113,1,1
6823_7#20,1,1
11826_3#11,1,1
19647_1#66,1,1
17794_6#1,1,1
11826_3#9,1,1
31919_2#136,1,1
24861_1#341,1,1
24775_1#16,1,1
19341_3#66,1,1
5381_3#10,1,1
24820_2#352,1,1
11657_4#55,1,1
6999_1#17,1,1
15191_6#65,1,1
19341_3#43,1,1
21053_8#119,1,1
14410_8#16,1,1
6840_1#22,1,1
10754X103_140620_D00294_0106_AC4FB4ANXX_6,1,1
24977_8#195,1,1
5381_3#1,1,1
17794_7#113,1,1
6187_5#23,1,1
24820_2#121,1,1
17175_4#17,1,1
28522_3#356,1,1
10868_5#11,1,1
24977_8#120,1,1
31958_2#362,1,1
6680_5#7,1,1
27119_1#217,1,1
5366_8#12,1,1
11511_8#33,1,1
17150_6#33,1,1
13091_2#1,1,1
17794_5#44,1,1
12274_6#48,1,1
12837_4#3,1,1
31588_4#86,1,1
28157_4#370,1,1
24977_8#172,1,1
19647_1#2,1,1
28042_2#159,1,1
11657_4#40,1,1
17794_6#59,1,1
6840_3#7,1,1
17794_3#53,1,1
14673_2#34,1,1
15682_3#46,1,1
17150_5#76,1,1
11658_2#74,1,1
19647_1#86,1,1
24977_8#76,1,1
5468_1#3,1,1
12291_6#39,1,1
18090_2#61,1,1
24775_1#93,1,1
31958_2#241,1,1
11860_1#96,1,1
6807_3#19,1,1
6246_4#17,1,1
21999_8#86,1,1
6999_7#22,1,1
14913_5#95,1,1
27119_1#147,1,1
17150_4#57,1,1
17794_4#83,1,1
6246_3#1,1,1
6972_3#19,1,1
6289_8#13,1,1
17794_6#56,1,1
15191_5#3,1,1
19341_2#117,1,1
27119_1#209,1,1
6823_2#18,1,1
15191_5#59,1,1
27119_1#176,1,1
9803_8#14,1,1
10868_6#7,1,1
6753_1#17,1,1
19084_8#31,1,1
19341_3#45,1,1
24977_8#39,1,1
13414_2#20,1,1
16404_7#81,1,1
17138_5#78,1,1
22841_1#119,1,1
24861_1#23,1,1
6755_3#21,1,1
6680_7#17,1,1
17794_5#31,1,1
12291_1#47,1,1
22667_7#134,1,1
23204_4#64,1,1
12291_1#48,1,1
20925_3#77,1,1
9803_8#33,1,1
5468_1#1,1,1
11679_1#58,1,1
12299_2#69,1,1
23430_3#62,1,1
24861_1#343,1,1
5366_3#7,1,1
21127_1#27,1,1
17794_5#92,1,1
6805_4#15,1,1
6938_6#16,1,1
17794_4#14,1,1
6680_5#18,1,1
7001_1#17,1,1
17794_5#39,1,1
19647_1#65,1,1
11826_3#6,1,1
23204_4#70,1,1
5366_3#10,1,1
19647_1#31,1,1
17794_4#3,1,1
27119_1#246,1,1
17794_6#87,1,1
34746_4#171,1,1
19084_8#176,1,1
12837_2#14,1,1
24820_2#111,1,1
13091_2#65,1,1
32139_3#147,1,1
34746_4#327,1,1
16404_7#20,1,1
17794_4#52,1,1
6899_6#14,1,1
24820_2#45,1,1
15191_5#60,1,1
19647_1#27,1,1
5366_8#5,1,1
5749_6#4,1,1
17794_6#50,1,1
6823_7#19,1,1
17794_5#90,1,1
27119_1#204,1,1
11657_4#74,1,1
11860_1#15,1,1
6680_7#22,1,1
31919_2#326,1,1
12837_4#2,1,1
6823_2#19,1,1
19647_1#41,1,1
6983_5#15,1,1
13414_3#16,1,1
14410_5#78,1,1
20925_3#13,1,1
17794_5#46,1,1
13154_2#17,1,1
17794_6#62,1,1
6755_4#8,1,1
15531_5#52,1,1
31588_4#207,1,1
24977_8#188,1,1
13414_6#80,1,1
6680_5#15,1,1
15682_4#38,1,1
7004_6#39,1,1
5366_7#10,1,1
6259_1#9,1,1
13091_2#2,1,1
28042_2#336,1,1
15608_3#66,1,1
19341_1#101,1,1
6899_7#4,1,1
17794_6#71,1,1
5429_8#6,1,1
5366_6#5,1,1
32139_2#70,1,1
